program;lopnr;female;kull;termin;tnr;status;poang_p;kullnr;ptnr
E;1;0;20002;20002;15;-7;6;15;1
W;2;1;20112;20112;37;-7;15;37;1
D;3;1;20032;20032;21;-7;16.5;21;1
N;4;1;20112;20112;37;-7;30;37;1
W;5;1;20112;20112;37;-7;0;37;1
F;6;0;20082;20082;31;-7;0;31;1
D;7;0;20102;20102;35;-7;5;35;1
V;8;0;20092;20092;33;-7;0;33;1
B;9;1;20022;20022;19;-7;0;19;1
K;10;0;20122;20122;39;-7;18.5;39;1
K;11;0;20072;20072;29;1;5;29;1
K;11;0;20072;20081;30;-7;23.5;29;2
E;12;0;20152;20152;45;-7;0;45;1
I;13;1;20052;20052;25;-7;12;25;1
C;14;0;20032;20032;21;-7;0;21;1
E;15;0;20022;20022;19;-7;0;19;1
E;16;0;20012;20012;17;-7;0;17;1
D;17;0;20032;20032;21;-7;0;21;1
G;18;1;20112;20112;37;-7;29;37;1
D;19;0;20152;20152;45;1;30;45;1
D;19;0;20152;20161;46;2;30.5;45;2
F;20;0;20132;20132;41;-7;0;41;1
G;21;1;20042;20042;23;1;24;23;1
G;21;1;20042;20051;24;-7;25.5;23;2
F;22;1;20022;20022;19;1;7.5;19;1
F;22;1;20022;20031;20;2;15;19;2
F;22;1;20022;20032;21;-7;12;19;3
P;23;0;20062;20062;27;1;30;27;1
P;23;0;20062;20071;28;2;30;27;2
P;23;0;20062;20072;29;-7;31.5;27;3
D;24;0;20122;20122;39;-7;3;39;1
E;25;0;19992;19992;13;-7;0;13;1
E;26;0;20012;20012;17;-7;0;17;1
M;27;0;20152;20152;45;-7;0;45;1
D;28;1;19982;19982;11;-7;3;11;1
B;29;0;20102;20102;35;-7;0;35;1
V;30;1;20122;20122;39;1;30.5;39;1
V;30;1;20122;20131;40;2;29.5;39;2
V;30;1;20122;20132;41;-7;0;39;3
E;31;0;20082;20082;31;-7;0;31;1
D;32;0;20002;20002;15;-7;3;15;1
C;33;0;20122;20122;39;-7;2.5;39;1
D;34;0;20072;20072;29;-7;3;29;1
C;35;0;20122;20122;39;-7;12;39;1
N;36;0;20122;20122;39;-7;0;39;1
M;37;0;20152;20152;45;1;9.5;45;1
M;37;0;20152;20161;46;2;8;45;2
N;38;0;20072;20072;29;-7;10;29;1
P;39;0;20042;20042;23;-7;30;23;1
D;40;0;19972;19972;9;-7;6;9;1
D;41;0;20072;20072;29;-7;3;29;1
V;42;0;19942;19942;3;-7;0;3;1
L;43;1;19982;19982;11;-7;6;11;1
V;44;0;20092;20092;33;-7;0;33;1
K;45;1;20082;20082;31;-7;0;31;1
D;46;1;20132;20132;41;-7;0;41;1
C;47;0;20052;20052;25;-7;21;25;1
D;48;0;20052;20052;25;-7;16.5;25;1
L;49;1;20152;20152;45;1;23;45;1
L;49;1;20152;20161;46;2;37;45;2
M;50;0;20082;20082;31;-7;9;31;1
